Feature,CSM5MCX3,HSM7J4HS,PSM7J1AU,HSM6XRTM,MSM6J2LL,MSM6J2Q3,CSM67UBH,ESM5MEBG
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Orbales;f_Orbaceae;g_Gilliamella;s_Unclassified Gilliamella,0,0,0,0,0,0,28,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Solanales;f_Solanaceae;g_Unclassified Solanaceae;s_Unclassified Solanaceae,0,0,0,0,60,0,20,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Dielma;s_Dielma fastidiosa,78,8,0,26,0,2,0,22
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidales bacterium 55_9 (no family in NCBI);g_Bacteroidales bacterium 55_9 (no genus in NCBI);s_Bacteroidales bacterium 55_9,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Shigella;s_Shigella flexneri,0,0,0,0,44,4,0,11
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Saccharum;s_Unclassified Saccharum,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterellaceae bacterium (no genus in NCBI);s_Sutterellaceae bacterium,68,4800,529,1943,2,0,0,573
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Sutterella;s_Sutterella sp. AM18-8-1,0,0,0,0,0,0,0,0
k_Bacteria;p_Lentisphaerae;c_Lentisphaerae bacterium ADurb.Bin242 (no class in NCBI);o_Lentisphaerae bacterium ADurb.Bin242 (no order in NCBI);f_Lentisphaerae bacterium ADurb.Bin242 (no family in NCBI);g_Lentisphaerae bacterium ADurb.Bin242 (no genus in NCBI);s_Lentisphaerae bacterium ADurb.Bin242,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Unclassified Desulfovibrionaceae;s_Unclassified Desulfovibrionaceae,59,2,0,2007,4,424,4,447
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella bivia,0,0,0,0,0,0,0,0
k_Viruses;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus;s_Mongoose picobirnavirus,0,0,0,0,6,178,0,0
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Unclassified Rhodospirillaceae;s_Unclassified Rhodospirillaceae,53,0,0,0,0,4,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Acidaminococcales;f_Acidaminococcaceae;g_Phascolarctobacterium;s_Phascolarctobacterium sp.,10,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Cellvibrionales;f_Unclassified Cellvibrionales;g_Unclassified Cellvibrionales;s_Unclassified Cellvibrionales,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Oscillibacter;s_Unclassified Oscillibacter,3061,3527,210,8410,3304,10027,50,6578
k_Viruses;p_Kitrinoviricota;c_Alsuviricetes;o_Martellivirales;f_Virgaviridae;g_Tobamovirus;s_Tomato mosaic virus,0,0,0,0,0,6,0,2
k_Eukaryota;p_Ascomycota;c_Unclassified Ascomycota;o_Unclassified Ascomycota;f_Unclassified Ascomycota;g_Unclassified Ascomycota;s_Unclassified Ascomycota,10,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Unclassified Xanthomonadales;g_Unclassified Xanthomonadales;s_Unclassified Xanthomonadales,0,0,0,0,0,0,34,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas aeruginosa,0,0,0,963,0,90,0,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Unclassified Deltaproteobacteria;f_Unclassified Deltaproteobacteria;g_Unclassified Deltaproteobacteria;s_Unclassified Deltaproteobacteria,0,0,0,0,0,0,8,44
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Muribaculaceae;g_Muribaculaceae bacterium (no genus in NCBI);s_Muribaculaceae bacterium,11,2,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus salivarius,0,2,0,8,4,0,0,8
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia sp. NSJ-69,18,0,0,0,8,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Phocaeicola (no family in NCBI);g_Phocaeicola;s_Phocaeicola vulgatus,408877,251093,69927,166811,696,161085,337803,714851
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp. AM26-12LB,0,0,0,0,0,16,0,20
k_Archaea;p_Euryarchaeota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Unclassified Methanobacteriaceae;s_Unclassified Methanobacteriaceae,0,0,0,24,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Oceanospirillales;f_Halomonadaceae;g_Halomonas;s_Unclassified Halomonas,0,0,0,0,0,0,44,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Phocaeicola (no family in NCBI);g_Phocaeicola;s_Phocaeicola plebeius,91296,133,87,562,0,24,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Dysosmobacter;s_Dysosmobacter sp. NSJ-60,1013,4,0,72,0,929,0,0
k_Bacteria;p_Lentisphaerae;c_Lentisphaeria;o_Victivallales;f_Victivallaceae;g_Victivallis;s_Victivallis vadensis,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium 41_12_two_minus (no family in NCBI);g_Clostridiales bacterium 41_12_two_minus (no genus in NCBI);s_Clostridiales bacterium 41_12_two_minus,0,2,0,268,0,74,0,24
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Roseburia;s_Roseburia sp. TF10-5,0,0,0,0,22,14,0,4
k_Bacteria;p_Tenericutes;c_Mollicutes;o_Acholeplasmatales;f_Unclassified Acholeplasmatales;g_Unclassified Acholeplasmatales;s_Unclassified Acholeplasmatales,0,0,0,90,0,0,0,0
k_Eukaryota;p_Perkinsozoa;c_Perkinsida (no class in NCBI);o_Perkinsida;f_Unclassified Perkinsida;g_Unclassified Perkinsida;s_Unclassified Perkinsida,0,0,0,0,0,0,42,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. TF08-15,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Vitales;f_Vitaceae;g_Vitis;s_Vitis vinifera,0,6,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Clostridioides;s_Clostridioides difficile,578,1032,16,2329,0,12,2,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Unclassified Pseudomonas,0,0,0,14,0,90,10,0
k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium;s_Fusobacterium sp. HMSC065F01,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium sp.,836,54,4,14427,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Selenomonas;s_Selenomonas sp. mPRGC5,0,167,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Coprococcus;s_Coprococcus phoceensis,0,0,0,0,0,0,90,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Massilimicrobiota;s_Unclassified Massilimicrobiota,12,0,0,0,0,18,0,26
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidales bacterium 43_36 (no family in NCBI);g_Bacteroidales bacterium 43_36 (no genus in NCBI);s_Bacteroidales bacterium 43_36,8,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Unclassified Sphingomonadaceae;s_Unclassified Sphingomonadaceae,0,0,0,0,0,0,14,0
k_Viruses;p_Kitrinoviricota;c_Alsuviricetes;o_Tymovirales;f_Betaflexiviridae;g_Carlavirus;s_Potato virus S,0,0,0,20,58,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Fabales;f_Fabaceae;g_Glycine;s_Unclassified Glycine,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium sp. 36_13,0,16,0,0,0,0,0,0
k_Bacteria;p_Cyanobacteria;c_Synechococcales (no class in NCBI);o_Synechococcales;f_Unclassified Synechococcales;g_Unclassified Synechococcales;s_Unclassified Synechococcales,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. AM32-11AC,0,0,0,42,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes onderdonkii,488,301,0,243,20,331,0,4
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptostreptococcaceae;g_Peptostreptococcus;s_Unclassified Peptostreptococcus,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Chitinophagia;o_Chitinophagales;f_Chitinophagaceae;g_Unclassified Chitinophagaceae;s_Unclassified Chitinophagaceae,0,0,0,0,0,0,0,0
k_Bacteria;p_Lentisphaerae;c_Lentisphaeria;o_Victivallales;f_Victivallaceae;g_Unclassified Victivallaceae;s_Unclassified Victivallaceae,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Sharpea;s_Unclassified Sharpea,0,26,0,0,0,0,0,0
k_Eukaryota;p_Chordata;c_Phasianidae (no class in NCBI);o_Phasianidae (no order in NCBI);f_Phasianidae;g_Coturnix;s_Coturnix japonica,0,0,0,0,24,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. OM07-19,0,0,0,0,0,0,0,12
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoanaerobaculum;s_Unclassified Lachnoanaerobaculum,0,0,0,0,92,0,6,4
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Coriobacteriales;f_Coriobacteriaceae;g_Enorma;s_Unclassified Enorma,0,0,0,0,0,0,12,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Phocaeicola (no family in NCBI);g_Phocaeicola;s_Phocaeicola massiliensis,0,76,0,0,0,0,467,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Malvales;f_Malvaceae;g_Gossypium;s_Unclassified Gossypium,6,0,0,0,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Unclassified Streptomyces,0,0,0,414,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Butyricicoccus;s_Butyricicoccus faecihominis,84,604,42,1560,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pectobacteriaceae;g_Lonsdalea;s_Unclassified Lonsdalea,0,0,0,0,0,2,0,2
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Merdimonas;s_Unclassified Merdimonas,0,0,0,0,22,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Zingiberales;f_Musaceae;g_Musa;s_Musa balbisiana,0,0,12,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium saccharobutylicum,6,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium sp. CAG76_36_125,170,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus parasanguinis,0,8,0,16,0,0,0,0
k_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Leptotrichiaceae;g_Leptotrichia;s_Unclassified Leptotrichia,0,0,0,0,0,0,0,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Unclassified Poaceae;s_Unclassified Poaceae,0,0,0,0,14,44,0,0
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Eggerthella;s_Eggerthella lenta,18,56,30,30,762,106,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus bromii,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Candidatus Heritagella (no order in NCBI);f_Candidatus Heritagella (no family in NCBI);g_Candidatus Heritagella;s_Unclassified Candidatus Heritagella,0,0,0,0,10,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Morganella;s_Unclassified Morganella,0,288,0,0,0,0,0,0
k_Bacteria;p_bacterium 1XD42-8 (no phylum in NCBI);c_bacterium 1XD42-8 (no class in NCBI);o_bacterium 1XD42-8 (no order in NCBI);f_bacterium 1XD42-8 (no family in NCBI);g_bacterium 1XD42-8 (no genus in NCBI);s_bacterium 1XD42-8,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Lactococcus;s_Lactococcus sp.,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Eubacteriaceae;g_Eubacterium;s_Eubacterium ramulus,110,0,0,968,12,4,0,8
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides uniformis,16047,655,212,137450,8786,88071,163,1184
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Faecalibacillus;s_Faecalibacillus faecis,66,0,0,4,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotellaceae bacterium LKV-178-WT-2A (no genus in NCBI);s_Prevotellaceae bacterium LKV-178-WT-2A,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides clarus,44,36,0,114,0,0,0,0
k_Eukaryota;p_Chordata;c_Sphenisciformes (no class in NCBI);o_Sphenisciformes;f_Spheniscidae;g_Unclassified Spheniscidae;s_Unclassified Spheniscidae,0,0,0,0,16,0,0,0
k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Polaribacter;s_Unclassified Polaribacter,10,40,0,8,0,694,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Odoribacter;s_Unclassified Odoribacter,9744,161,42,38,0,10,65,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides sp. D13,0,0,0,0,0,0,0,76
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Eisenbergiella;s_Eisenbergiella massiliensis,0,0,0,0,0,133,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_Unclassified Lachnoclostridium,53,84,72,74,413,238,0,318
k_Bacteria;p_Firmicutes;c_Ndongobacter (no class in NCBI);o_Ndongobacter (no order in NCBI);f_Ndongobacter (no family in NCBI);g_Ndongobacter;s_Ndongobacter massiliensis,6,0,0,14,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Unclassified Sphingomonadales;g_Unclassified Sphingomonadales;s_Unclassified Sphingomonadales,0,0,0,0,0,0,226,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Veillonellales;f_Veillonellaceae;g_Veillonella;s_Veillonella parvula,0,0,0,0,0,0,0,0
k_Bacteria;p_Cyanobacteria;c_Unclassified Cyanobacteria;o_Unclassified Cyanobacteria;f_Unclassified Cyanobacteria;g_Unclassified Cyanobacteria;s_Unclassified Cyanobacteria,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Unclassified Selenomonadales;g_Unclassified Selenomonadales;s_Unclassified Selenomonadales,0,0,0,0,0,48,20,0
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Panicum;s_Panicum hallii,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerostipes;s_Anaerostipes hadrus,1749,2678,2,853,0,162,60,42
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. AF27-10BH,14,0,0,12,0,0,0,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium pseudocatenulatum,0,90,6,44,2,0,0,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio sp. 6_1_46AFAA,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Oscillospiraceae;g_Dysosmobacter;s_Unclassified Dysosmobacter,114,7,12,331,39,34,0,88
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium carnis,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus sp. SRB_28,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. C105KSO14,0,0,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales Family XIII. Incertae Sedis;g_Unclassified Clostridiales Family XIII. Incertae Sedis;s_Unclassified Clostridiales Family XIII. Incertae Sedis,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Unclassified Rhizobiaceae;s_Unclassified Rhizobiaceae,40,0,0,0,676,517,8,298
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Unclassified Escherichia,658,43,126,20,3018,245,99,692
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Unclassified Desulfobacterales;g_Unclassified Desulfobacterales;s_Unclassified Desulfobacterales,0,0,0,0,0,0,0,2
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus sp. AM45-2,0,0,0,48,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Citrobacter;s_Unclassified Citrobacter,34,460,28,0,262,62,2,52
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Eggerthellales;f_Eggerthellaceae;g_Slackia;s_Unclassified Slackia,1,0,52,6,0,0,0,0
k_Bacteria;p_Firmicutes;c_Erysipelotrichia;o_Erysipelotrichales;f_Erysipelotrichaceae;g_Erysipelatoclostridium;s_Erysipelatoclostridium ramosum,22,14,0,0,0,30,100,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Neobittarella;s_Unclassified Neobittarella,0,0,0,10,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Unclassified Flavobacteriaceae;s_Unclassified Flavobacteriaceae,0,0,176,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. M29,0,0,0,34,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiales bacterium (no family in NCBI);g_Clostridiales bacterium (no genus in NCBI);s_Clostridiales bacterium,514,225,0,747,461,1696,68,468
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Lachnoclostridium;s_Lachnoclostridium sp.,0,0,4,17,8422,3148,208,1960
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Odoribacteraceae;g_Odoribacter;s_Odoribacter splanchnicus,9554,62,30,51,0,22,9752,0
k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae;g_Bifidobacterium;s_Bifidobacterium animalis,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella sp. oral taxon 808,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides sp. AF48-14,0,0,0,283,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Rikenellaceae bacterium (no genus in NCBI);s_Rikenellaceae bacterium,30,0,0,206,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Sutterellaceae;g_Turicimonas;s_Unclassified Turicimonas,0,0,0,24,0,0,0,12
k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus;s_Streptococcus pneumoniae,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 2_1_33B,0,0,12,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Unclassified Aeromonadales;g_Unclassified Aeromonadales;s_Unclassified Aeromonadales,0,0,0,0,0,4,30,6
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Sporomusaceae;g_Unclassified Sporomusaceae;s_Unclassified Sporomusaceae,0,0,0,0,0,0,12,0
k_Viruses;p_Pisuviricota;c_Duplopiviricetes;o_Durnavirales;f_Picobirnaviridae;g_Picobirnavirus;s_Unclassified Picobirnavirus,0,0,0,0,0,277,0,0
k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Lawsonia;s_Lawsonia intracellularis,0,0,0,69,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Unclassified Rikenellaceae;s_Unclassified Rikenellaceae,114,1002,12,690,17,1391,3329,336
k_Bacteria;p_Firmicutes;c_Clostridia;o_Candidatus Pseudoscilispira (no order in NCBI);f_Candidatus Pseudoscilispira (no family in NCBI);g_Candidatus Pseudoscilispira;s_Unclassified Candidatus Pseudoscilispira,6,0,0,0,0,18,0,24
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Raoultella;s_Unclassified Raoultella,0,0,0,0,13,8,0,16
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Barnesiellaceae;g_Barnesiella;s_Barnesiella intestinihominis,468,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 3_1_40A,1748,3290,321,710,2,284,853,3168
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Flavonifractor;s_Flavonifractor sp. An9,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella sp. P5-64,0,28,0,0,0,0,0,0
k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Selenomonas;s_Unclassified Selenomonas,8,12,0,20,0,0,10,204
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pasteurellales;f_Pasteurellaceae;g_Unclassified Pasteurellaceae;s_Unclassified Pasteurellaceae,54,3,22,96,0,0,0,14
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas;s_Unclassified Stenotrophomonas,0,0,0,0,0,0,0,0
k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. D2,10,4,72,98,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Butyrivibrio;s_Unclassified Butyrivibrio,72,84,14,46,70,278,65,37
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Anaerotruncus;s_Anaerotruncus sp. G3(2012),0,0,0,610,0,0,0,198
k_Eukaryota;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Hordeum;s_Unclassified Hordeum,0,0,0,0,0,0,0,0
k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Unclassified Moraxellaceae;s_Unclassified Moraxellaceae,0,0,0,0,4,28,0,0
k_Bacteria;p_Actinobacteria;c_Coriobacteriia;o_Coriobacteriales;f_Coriobacteriaceae;g_Collinsella;s_Collinsella sp. AF38-3AC,50,86,0,102,0,0,0,0
k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Agathobacter;s_Unclassified Agathobacter,0,0,0,0,8,4,0,0
